[  1913.,3306.,  24875.,  35442.,3444.,  39609.,  20487.,1996.,4808.,  57501.,1236.,1991.],
[  1333.,3873.,  48191.,  12139.,3561.,  58470., 632.,2873.,  10546.,  51619., 511.,2860.],
[  1610.,3335.,  20312.,  40279.,3366.,  57502.,2648.,2020.,3697.,  59576., 250.,2013.],
[  2119.,4575.,  55975.,2867.,6612.,  56133., 277.,2514.,  27986.,  34774., 252.,2524.],
[  2960.,2233.,  58175.,2168.,4046.,  59333., 199.,1958.,7720.,  55674., 181.,1961.],
[  1858.,4818.,  37742.,  21118.,8982.,  52876., 802.,2876.,  10457.,  51572., 633.,2874.],
[  1453.,6225.,  53082.,4776.,8215.,  54342., 415.,2564.,  11623.,  50968., 377.,2568.],
[  2914.,5541.,  54401.,2680.,9379.,  53150., 431.,2576.,  22606.,  39933., 415.,2582.],
[  1734.,5753.,  55141.,2908.,9744.,  52676., 358.,2758.,  14214.,  48244., 333.,2745.],
[  2028.,6368.,  52979.,4161.,  13390.,  47853., 606.,3687.,  25319.,  36004., 528.,3685.],
[179.,3750.,  16197.,  45410.,4919.,  25903.,  32984.,1730.,  15096.,  48059., 644.,1737.],
[  3314.,8329.,  50601.,3292.,  20181.,  41706., 479.,3170.,  47424.,  14480., 460.,3172.],
[  2204.,4787.,  35072.,  23473.,  13548.,  49587., 467.,1934.,  15060.,  48190., 332.,1954.],
[  2385.,3477.,  39862.,  19812.,4769.,  55762.,1146.,3859.,  28016.,  32653.,1006.,3861.],
[  1948.,2001.,  31777.,  29810.,6431.,  52252.,4291.,2562.,  27315.,  34956., 701.,2564.],
[  1324.,3063.,  29976.,  31173.,4146.,  52747.,6076.,2567.,  26221.,  36022., 747.,2546.],
[  2288.,5100.,  54282.,3866.,  15735.,  45093.,1182.,3526.,  30317.,  30604.,1087.,3528.],
[  3185.,  18254.,  40348.,3749.,  29559.,  31390.,1122.,3465.,  41071.,  19919.,1061.,3485.],
[  2144.,2849.,  35555.,  24988.,  14055.,  47442.,1341.,2698.,  28273.,  33579., 934.,2750.],
[  1920.,2905.,  37368.,  23343.,  11237.,  50892., 896.,2511.,  27860.,  34391., 724.,2561.],
[  2414.,5791.,  53331.,4000.,  23570.,  37310., 904.,3752.,  35361.,  25576., 843.,3756.],
[  2332.,4652.,  53902.,4650.,8208.,  52101., 934.,4293.,  34868.,  25525., 881.,4262.],
[681.,2089.,  28444.,  34322.,2188.,  36824.,  24880.,1644.,  19852.,  43562., 496.,1626.],
